lexeme	CurrentNode	lineno	tokenName	valueIfNumber	parentNodeSymbol	isLeafNode	NodeSymbol
----	eps	-	----	----	termPrime	non-leaf	eps
----	termPrime	-	----	----	term	non-leaf	termPrime
----	arithmeticExpression	-	----	----	factor	non-leaf	arithmeticExpression
+	----	529	TK_PLUS	----	lowPrecedenceOperators	leaf	TK_PLUS
----	lowPrecedenceOperators	-	----	----	expPrime	non-leaf	lowPrecedenceOperators
----	expPrime	-	----	----	arithmeticExpression	non-leaf	expPrime
2	----	529	TK_NUM	2	all	leaf	TK_NUM
----	all	-	----	----	factor	non-leaf	all
----	factor	-	----	----	term	non-leaf	factor
----	term	-	----	----	expPrime	non-leaf	term
*	----	529	TK_MUL	----	highPrecedenceOperators	leaf	TK_MUL
----	highPrecedenceOperators	-	----	----	termPrime	non-leaf	highPrecedenceOperators
----	termPrime	-	----	----	term	non-leaf	termPrime
c4	----	529	TK_ID	----	all	leaf	TK_ID
----	all	-	----	----	factor	non-leaf	all
----	eps	-	----	----	temp	non-leaf	eps
----	temp	-	----	----	all	non-leaf	temp
----	factor	-	----	----	termPrime	non-leaf	factor
----	eps	-	----	----	termPrime	non-leaf	eps
----	termPrime	-	----	----	termPrime	non-leaf	termPrime
-	----	529	TK_MINUS	----	lowPrecedenceOperators	leaf	TK_MINUS
----	lowPrecedenceOperators	-	----	----	expPrime	non-leaf	lowPrecedenceOperators
----	expPrime	-	----	----	expPrime	non-leaf	expPrime
(	----	529	TK_OP	----	factor	leaf	TK_OP
----	factor	-	----	----	term	non-leaf	factor
c5	----	529	TK_ID	----	all	leaf	TK_ID
----	all	-	----	----	factor	non-leaf	all
----	eps	-	----	----	temp	non-leaf	eps
----	temp	-	----	----	all	non-leaf	temp
----	factor	-	----	----	term	non-leaf	factor
----	term	-	----	----	arithmeticExpression	non-leaf	term
----	eps	-	----	----	termPrime	non-leaf	eps
----	termPrime	-	----	----	term	non-leaf	termPrime
----	arithmeticExpression	-	----	----	factor	non-leaf	arithmeticExpression
-	----	529	TK_MINUS	----	lowPrecedenceOperators	leaf	TK_MINUS
----	lowPrecedenceOperators	-	----	----	expPrime	non-leaf	lowPrecedenceOperators
----	expPrime	-	----	----	arithmeticExpression	non-leaf	expPrime
5	----	529	TK_NUM	5	all	leaf	TK_NUM
----	all	-	----	----	factor	non-leaf	all
----	factor	-	----	----	term	non-leaf	factor
----	term	-	----	----	expPrime	non-leaf	term
----	eps	-	----	----	termPrime	non-leaf	eps
----	termPrime	-	----	----	term	non-leaf	termPrime
----	eps	-	----	----	expPrime	non-leaf	eps
----	expPrime	-	----	----	expPrime	non-leaf	expPrime
)	----	529	TK_CL	----	factor	leaf	TK_CL
----	term	-	----	----	expPrime	non-leaf	term
----	eps	-	----	----	termPrime	non-leaf	eps
----	termPrime	-	----	----	term	non-leaf	termPrime
----	eps	-	----	----	expPrime	non-leaf	eps
----	expPrime	-	----	----	expPrime	non-leaf	expPrime
